id_doctor,usuario_login,contrasena
D1839,dlolmedo,dlolmedo01
D1840,dhleal,dhleal01
D1841,dfvzquez3,dfvzquez301
D1842,dmramrez3,dmramrez301
D1843,dachvez3,dachvez301
D1844,djtapia2,djtapia201
D1845,djcorona4,djcorona401
D1846,ddmacas3,ddmacas301
D1847,damerino,damerino01
D1848,djbarrios,djbarrios01
D1849,dutavernier,dutavernier01
D1850,demartnez9,demartnez901
D1851,djortega2,djortega201
D1852,djrodrguez11,djrodrguez1101
D1853,drsandoval,drsandoval01
D1854,davargas2,davargas201
D1855,dgpatrn,dgpatrn01
D1856,daesquivel,daesquivel01
D1857,dylen,dylen01
D1858,dagarca6,dagarca601
D1859,dmcubillo,dmcubillo01
D1860,djneri2,djneri201
D1861,dfrangel,dfrangel01
D1862,dajoao,dajoao01
D1863,diuribe,diuribe01
D1864,dlmora,dlmora01
D1865,drjaimes,drjaimes01
D1866,dkgonzalez,dkgonzalez01
D1867,djmireles,djmireles01
D1868,djnarvez,djnarvez01
D1869,dmhernndez7,dmhernndez701
D1870,djvilla,djvilla01
D1871,dlmarines,dlmarines01
D1872,djsnchez5,djsnchez501
D1873,djsnchez6,djsnchez601
D1874,dgorozco,dgorozco01
D1875,dvlpez,dvlpez01
D1876,djpedraza2,djpedraza201
D1877,dlzavala2,dlzavala201
D1878,dlnaranjo,dlnaranjo01
D1879,dmalmeida,dmalmeida01
D1880,dfsamano,dfsamano01
D1881,dfpia,dfpia01
D1882,dapauln,dapauln01
D1883,daduarte,daduarte01
D1884,dggarca2,dggarca201
D1885,dmmanzo,dmmanzo01
D1886,damedina2,damedina201
D1887,dfmartnez3,dfmartnez301
D1888,djprez2,djprez201
D1889,dcortiz2,dcortiz201
D1890,dmypez,dmypez01
D1891,dpcaldern,dpcaldern01
D1892,drrodrguez2,drrodrguez201
D1893,djlpez8,djlpez801
D1894,dtvidal,dtvidal01
D1895,dlcastillo2,dlcastillo201
D1896,dovit,dovit01
D1897,dalpez4,dalpez401
D1898,ddvallejo3,ddvallejo301
D1899,dfpealoza,dfpealoza01
D1900,dojaime,dojaime01
D1901,dagarca7,dagarca701
D1902,djmendoza4,djmendoza401
D1903,djmondragn,djmondragn01
D1904,diaceves,diaceves01
D1905,decamacho,decamacho01
D1906,dhgalindez,dhgalindez01
D1907,dfcastillo,dfcastillo01
D1908,djchvez,djchvez01
D1909,dmvzquez,dmvzquez01
D1910,dcchvez,dcchvez01
D1911,drrosales,drrosales01
D1912,decerda2,decerda201
D1913,dmmagaa,dmmagaa01
D1914,dvalcaraz,dvalcaraz01
D1915,dcgalindo,dcgalindo01
D1916,djvargas,djvargas01
D1917,ddhernndez3,ddhernndez301
D1918,dealcntara,dealcntara01
D1919,dmcaldern,dmcaldern01
D1920,dchernndez2,dchernndez201
D1921,djchvez2,djchvez201
D1922,dlmondragn,dlmondragn01
D1923,dlgmez3,dlgmez301
D1924,djprez3,djprez301
D1925,dlgarca3,dlgarca301
D1926,dagarca8,dagarca801
D1927,dlmorales2,dlmorales201
D1928,djprez4,djprez401
D1929,dmtrejo2,dmtrejo201
D1930,djgonzlez6,djgonzlez601
D1931,damedina3,damedina301
D1932,dlvzquez2,dlvzquez201
D1933,damanzo,damanzo01
D1934,drballestero,drballestero01
D1935,darivera4,darivera401
D1936,dicruz,dicruz01
D1937,djarroyo,djarroyo01
D1938,dvtejeda,dvtejeda01
D1939,dgramrez7,dgramrez701
D1940,dhesparza,dhesparza01
D1941,decorona,decorona01
D1942,dfballestero,dfballestero01
D1943,dmlorenzana,dmlorenzana01
D1944,dgramirez,dgramirez01
D1945,dfballestero2,dfballestero201
D1946,djfigueroa3,djfigueroa301
D1947,djreyes3,djreyes301
D1948,djrosales,djrosales01
D1949,dpcorrea,dpcorrea01
D1950,dlcorts2,dlcorts201
D1951,dcortiz3,dcortiz301
D1952,dgsalgado,dgsalgado01
D1953,drestrada,drestrada01
D1954,dglevin,dglevin01
D1955,dlguerrero,dlguerrero01
D1956,dmgutirrez2,dmgutirrez201
D1957,dagarza,dagarza01
D1958,dssnchez3,dssnchez301
D1959,dmcastro,dmcastro01
D1960,dgsnchez2,dgsnchez201
D1961,dsperez,dsperez01
D1962,daschotman,daschotman01
D1963,djzepeda,djzepeda01
D1964,dajimenez2,dajimenez201
D1965,domadrigal,domadrigal01
D1966,dhtenorio,dhtenorio01
D1967,dagarcilazo,dagarcilazo01
D1968,dfochoa2,dfochoa201
D1969,djcastillo2,djcastillo201
D1970,djbarrientos,djbarrientos01
D1971,dapuente,dapuente01
D1972,dlarambula,dlarambula01
D1973,dffranco,dffranco01
D1974,dpvillar,dpvillar01
D1975,djhernndez12,djhernndez1201
D1976,dgarrieta,dgarrieta01
D1977,dojimnez,dojimnez01
D1978,dlmarinovic,dlmarinovic01
D1979,dltrejo,dltrejo01
D1980,dacrespo,dacrespo01
D1981,dmcontreras,dmcontreras01
D1982,drsnchez5,drsnchez501
D1983,dlpena,dlpena01
D1984,dmpalacios,dmpalacios01
D1985,dssnchez4,dssnchez401
D1986,daterrazas,daterrazas01
D1987,dmmartnez9,dmmartnez901
D1988,damartnez8,damartnez801
D1989,dgmoreno2,dgmoreno201
D1990,djpruneda,djpruneda01
D1991,dresper,dresper01
D1992,djlupi,djlupi01
D1993,djcedillo,djcedillo01
D1994,dccastruita,dccastruita01
D1995,dameja,dameja01
D1996,djcastan,djcastan01
D1997,djhernndez13,djhernndez1301
D1998,dbtorres,dbtorres01
D1999,dlflores,dlflores01
D2000,drroldan,drroldan01
D2001,djortiz2,djortiz201
D2002,dfrodrguez3,dfrodrguez301
D2003,dbguerrero,dbguerrero01
D2004,dmcarballo,dmcarballo01
D2005,dhdaz2,dhdaz201
D2006,dmrodrguez4,dmrodrguez401
D2007,darojas,darojas01
D2008,dmmartnez10,dmmartnez1001
D2009,dlhernndez5,dlhernndez501
D2010,dncordova,dncordova01
D2011,dgcherit,dgcherit01
D2012,dtjimemez,dtjimemez01
D2013,djdardon,djdardon01
D2014,dvmeraz,dvmeraz01
D2015,dmchavarria,dmchavarria01
D2016,dgrichards,dgrichards01
D2017,djlpez9,djlpez901
D2018,dmlpez,dmlpez01
D2019,djrodrguez12,djrodrguez1201
D2020,dhrodrguez,dhrodrguez01
D2021,dmcastillo2,dmcastillo201
D2022,djgutirrez,djgutirrez01
D2023,djibaez,djibaez01
D2024,dejacobi,dejacobi01
D2025,djhuaquisto,djhuaquisto01
D2026,dvvelez,dvvelez01
D2027,dlmndez,dlmndez01
D2028,dmjurez2,dmjurez201
D2029,datorres,datorres01
D2030,djcarranza3,djcarranza301
D2031,dcbecerril,dcbecerril01
D2032,djalva,djalva01
D2033,desantacruz,desantacruz01
D2034,djsnchez7,djsnchez701
D2035,daarredondo,daarredondo01
D2036,dlacosta,dlacosta01
D2037,dacarreo,dacarreo01
D2038,dknasar,dknasar01
D2039,dfsarmiento,dfsarmiento01
D2040,djromn2,djromn201
D2041,dazrate,dazrate01
D2042,datern,datern01
D2043,damonterrubi,damonterrubi01
D2044,drherrera,drherrera01
D2045,dsbermdes,dsbermdes01
D2046,dsbermdes2,dsbermdes201
D2047,ddmaldonado,ddmaldonado01
D2048,dmmadrid,dmmadrid01
D2049,dmvizcano,dmvizcano01
D2050,dllujn,dllujn01
D2051,deperegrina,deperegrina01
D2052,dmmadrigal2,dmmadrigal201
D2053,dffernndez,dffernndez01
D2054,dfreynoso,dfreynoso01
D2055,drfuentes,drfuentes01
D2056,dgvelasco,dgvelasco01
D2057,dmmurillo,dmmurillo01
D2058,dlbarreiro,dlbarreiro01
D2059,dfsnchez,dfsnchez01
D2060,dhisunza,dhisunza01
D2061,dhisunza2,dhisunza201
D2062,dlvillar,dlvillar01
D2063,djboo,djboo01
D2064,dmbustos,dmbustos01
D2065,domontiel2,domontiel201
D2066,davillaseor3,davillaseor301
D2067,dematurino,dematurino01
D2068,dlsandoval2,dlsandoval201
D2069,dhruiz,dhruiz01
D2070,dusalgado,dusalgado01
D2071,dedaz2,dedaz201
D2072,drtorres2,drtorres201
D2073,djmonter,djmonter01
D2074,dachauvet,dachauvet01
D2075,dfgmez2,dfgmez201
D2076,dvmartnez,dvmartnez01
D2077,djquiones,djquiones01
D2078,drlira,drlira01
D2079,devenegas,devenegas01
D2080,djmena,djmena01
D2081,dstostado,dstostado01
D2082,djcuellar,djcuellar01
D2083,dmorozco2,dmorozco201
D2084,djcoronel,djcoronel01
D2085,djgonzlez7,djgonzlez701
D2086,dgortz,dgortz01
D2087,dmdvila,dmdvila01
D2088,djhernndez14,djhernndez1401
D2089,dgflor,dgflor01
D2090,djlen2,djlen201
D2091,dmros,dmros01
D2092,dscravioto,dscravioto01
D2093,dcmeirino,dcmeirino01
D2094,dehayashi,dehayashi01
D2095,djaranda,djaranda01
D2096,dfgonzlez,dfgonzlez01
D2097,duherrera,duherrera01
D2098,daalarcn3,daalarcn301
D2099,dcbarriga,dcbarriga01
D2100,daalcocer,daalcocer01
D2101,dabetancourt,dabetancourt01
D2102,djcerda,djcerda01
D2103,djmedina,djmedina01
D2104,djpiedrahita,djpiedrahita01
D2105,drlopez,drlopez01
D2106,dglidt,dglidt01
D2107,djpars,djpars01
D2108,dgdiez,dgdiez01
D2109,djescrcega,djescrcega01
D2110,degarrido,degarrido01
D2111,djorellana,djorellana01
D2112,dbespinosa,dbespinosa01
D2113,dcrivera,dcrivera01
D2114,djfigueroa4,djfigueroa401
D2115,denavarrete,denavarrete01
D2116,djpacheco,djpacheco01
D2117,dbmeja,dbmeja01
D2118,dmsnchez5,dmsnchez501
D2119,dmsnchez6,dmsnchez601
D2120,dvflores,dvflores01
D2121,dacerdn,dacerdn01
D2122,djcaleti,djcaleti01
D2123,dabordes,dabordes01
D2124,darodriguez2,darodriguez201
D2125,djsarmina,djsarmina01
D2126,dwfadel,dwfadel01
D2127,dpdoherty,dpdoherty01
D2128,doflix,doflix01
D2129,doflix2,doflix201
D2130,dmprez3,dmprez301
D2131,degarduo,degarduo01
D2132,demanriquez,demanriquez01
D2133,dssols,dssols01
D2134,dssols2,dssols201
D2135,dianzures,dianzures01
D2136,dhjurez,dhjurez01
D2137,djgutirrez2,djgutirrez201
D2138,dmsantoyo,dmsantoyo01
D2139,dfnogueda,dfnogueda01
D2140,dftrueba,dftrueba01
D2141,djabonce,djabonce01
D2142,dsmora,dsmora01
D2143,dhvelez,dhvelez01
D2144,dgaguilera,dgaguilera01
D2145,djesmenjaud,djesmenjaud01
D2146,djtorres3,djtorres301
D2147,djruiz3,djruiz301
D2148,dovalencia,dovalencia01
D2149,djgarca12,djgarca1201
D2150,dgmerino,dgmerino01
D2151,drguzmn,drguzmn01
D2152,ddanaya,ddanaya01
D2153,djadame,djadame01
D2154,deduck,deduck01
D2155,djromo,djromo01
D2156,djgmez5,djgmez501
D2157,dmgarca3,dmgarca301
D2158,dabadiola,dabadiola01
D2159,daval,daval01
D2160,dlbadillo2,dlbadillo201
D2161,djlizarraga,djlizarraga01
D2162,daaguirre4,daaguirre401
D2163,dpgarza,dpgarza01
D2164,daoate,daoate01
D2165,dvgarca,dvgarca01
D2166,dagarca9,dagarca901
D2167,djcalleja,djcalleja01
D2168,dcbarraza,dcbarraza01
D2169,dagarca10,dagarca1001
D2170,drnogales,drnogales01
D2171,dfsnchez2,dfsnchez201
D2172,djmillan,djmillan01
D2173,djtorres4,djtorres401
D2174,dcsantiago,dcsantiago01
D2175,djrodrguez13,djrodrguez1301
D2176,dlbernal,dlbernal01
D2177,dfmadera,dfmadera01
D2178,djmora2,djmora201
D2179,dlhigareda,dlhigareda01
D2180,dagalvis,dagalvis01
D2181,dsgermes,dsgermes01
D2182,dasaldvar,dasaldvar01
D2183,dglpez,dglpez01
D2184,dosoto,dosoto01
D2185,drargumedo,drargumedo01
D2186,dlurbina2,dlurbina201
D2187,dlgonzlez2,dlgonzlez201
D2188,dscruz2,dscruz201
D2189,dicarrillo,dicarrillo01
D2190,djramrez6,djramrez601
D2191,dgmonroy,dgmonroy01
D2192,dbpedraza,dbpedraza01
D2193,dvmolina2,dvmolina201
D2194,dhtrueba,dhtrueba01
D2195,djquintero,djquintero01
D2196,dldanzos,dldanzos01
D2197,davalle,davalle01
D2198,djosorio,djosorio01
D2199,dmsalazar2,dmsalazar201
D2200,dgschwuchow,dgschwuchow01
D2201,dfbentz,dfbentz01
D2202,dfgonzlez2,dfgonzlez201
D2203,dgsantiago,dgsantiago01
D2204,drbenavides,drbenavides01
D2205,dmaiza,dmaiza01
D2206,dgdubernard,dgdubernard01
D2207,djcalderon,djcalderon01
D2208,djjurado,djjurado01
D2209,djarce,djarce01
D2210,djmota,djmota01
D2211,dvcrocifogli,dvcrocifogli01
D2212,degonzlez3,degonzlez301
D2213,deascencio,deascencio01
D2214,damussa,damussa01
D2215,daramrez6,daramrez601
D2216,dmvzquez2,dmvzquez201
D2217,dggmez3,dggmez301
D2218,dpfernndez2,dpfernndez201
D2219,dmguevara,dmguevara01
D2220,djromano,djromano01
D2221,dlmelgar,dlmelgar01
D2222,drbusquets,drbusquets01
D2223,drcordero,drcordero01
D2224,dmespinosa,dmespinosa01
D2225,djvega3,djvega301
D2226,degmez2,degmez201
D2227,djlvarez3,djlvarez301
D2228,drsalas,drsalas01
D2229,dmmartinez,dmmartinez01
D2230,dmchapa,dmchapa01
D2231,dmchapa2,dmchapa201
D2232,drmarin,drmarin01
D2233,dgprez,dgprez01
D2234,druribe,druribe01
D2235,daquinto,daquinto01
D2236,daquinto2,daquinto201
D2237,dfrodriguez,dfrodriguez01
D2238,dllpez3,dllpez301
D2239,dpolivares,dpolivares01
D2240,ddpintado,ddpintado01
D2241,dsescobedo,dsescobedo01
D2242,dlmarcial,dlmarcial01
D2243,dsgonzlez,dsgonzlez01
D2244,dcrodriguez,dcrodriguez01
D2245,dvosorio,dvosorio01
D2246,dgvelasco2,dgvelasco201
D2247,djguzman,djguzman01
D2248,dmmosqueda,dmmosqueda01
D2249,dmpizarro,dmpizarro01
D2250,dvbarradas,dvbarradas01
D2251,dlporcayo,dlporcayo01
D2252,djgmez6,djgmez601
D2253,djmendoza5,djmendoza501
D2254,dsprez2,dsprez201
D2255,djpascua,djpascua01
D2256,defernndez,defernndez01
D2257,dthernndez3,dthernndez301
D2258,drresndiz,drresndiz01
D2259,drmeja,drmeja01
D2260,derojas,derojas01
D2261,dimartnez,dimartnez01
D2262,dlrobles2,dlrobles201
D2263,dfarizcorret,dfarizcorret01
D2264,darubio,darubio01
D2265,djmendoza6,djmendoza601
D2266,diguerrero,diguerrero01
D2267,djgarca13,djgarca1301
D2268,djsnchez8,djsnchez801
D2269,ddrosito,ddrosito01
D2270,devera,devera01
D2271,dgmaldonado,dgmaldonado01
D2272,djgutierrez,djgutierrez01
D2273,daargandar,daargandar01
D2274,drcervantes,drcervantes01
D2275,dfcampos2,dfcampos201
D2276,djlluch,djlluch01
D2277,dpvigerie,dpvigerie01
D2278,deestrada2,deestrada201
D2279,docastillo,docastillo01
D2280,dfcortinas,dfcortinas01
D2281,drtorre,drtorre01
D2282,dfolvera,dfolvera01
D2283,dfprado,dfprado01
D2284,drrcega,drrcega01
D2285,dffarfn,dffarfn01
D2286,djruz3,djruz301
D2287,daaguirre5,daaguirre501
D2288,dechvez3,dechvez301
D2289,djpadilla2,djpadilla201
D2290,drrovira,drrovira01
D2291,dcborquez,dcborquez01
D2292,dmaguirre,dmaguirre01
D2293,dflen2,dflen201
D2294,debarajas,debarajas01
D2295,djflores6,djflores601
D2296,djrngel,djrngel01
D2297,djrobles,djrobles01
D2298,djmagaa,djmagaa01
D2299,dorivera,dorivera01
D2300,demaza,demaza01
D2301,dmtoro,dmtoro01
D2302,dfzurita,dfzurita01
D2303,dfzurita2,dfzurita201
D2304,dfponce,dfponce01
D2305,dgbalanzar,dgbalanzar01
D2306,djcalcneo,djcalcneo01
D2307,dabracho2,dabracho201
D2308,dcponce,dcponce01
D2309,dlgarduo,dlgarduo01
D2310,drmacas,drmacas01
D2311,dktabarez,dktabarez01
D2312,dbretes,dbretes01
D2313,djcruz2,djcruz201
D2314,dfratchelous,dfratchelous01
D2315,dgalfaro,dgalfaro01
D2316,dsissasi,dsissasi01
D2317,dfgarca7,dfgarca701
D2318,disarmiento,disarmiento01
D2319,dcflores,dcflores01
D2320,dcorellana,dcorellana01
D2321,demoney,demoney01
D2322,drjaime2,drjaime201
D2323,daruz,daruz01
D2324,dfcarrillo,dfcarrillo01
D2325,dmbarba,dmbarba01
D2326,daalburo,daalburo01
D2327,dkortiz,dkortiz01
D2328,dalpez5,dalpez501
D2329,dlcienfuegos,dlcienfuegos01
D2330,dlcienfuegos2,dlcienfuegos201
D2331,djvaldivia,djvaldivia01
D2332,djruan,djruan01
D2333,djaguilar4,djaguilar401
D2334,djaguilar5,djaguilar501
D2335,djgrijalva,djgrijalva01
D2336,dfsagastegui,dfsagastegui01
D2337,drcifuentes,drcifuentes01
D2338,damalagn,damalagn01
D2339,djlemus,djlemus01
D2340,djzermeno,djzermeno01
D2341,dgrodrguez3,dgrodrguez301
D2342,dnbuenrostro,dnbuenrostro01
D2343,davite,davite01
D2344,deblanchet,deblanchet01
D2345,dmchvez,dmchvez01
D2346,dasnchez3,dasnchez301
D2347,dasnchez4,dasnchez401
D2348,dasegura,dasegura01
D2349,djvidal,djvidal01
D2350,dhllave,dhllave01
D2351,dbverdura,dbverdura01
D2352,djtarriba,djtarriba01
D2353,dfmendoza2,dfmendoza201
D2354,dfmaytorena,dfmaytorena01
D2355,dfgaray,dfgaray01
D2356,demurray,demurray01
D2357,dhmartnez,dhmartnez01
D2358,dcorozco2,dcorozco201
D2359,djgarduo,djgarduo01
D2360,drcaloca,drcaloca01
D2361,deblankenage,deblankenage01
D2362,dozamudio,dozamudio01
D2363,drkonschot,drkonschot01
D2364,drjimnez,drjimnez01
D2365,dxgarca,dxgarca01
D2366,dmmiranda,dmmiranda01
D2367,dfburgos,dfburgos01
D2368,ddgarca,ddgarca01
D2369,dfjimnez,dfjimnez01
D2370,dcmerlano,dcmerlano01
D2371,dmramrez4,dmramrez401
D2372,deleal,deleal01
D2373,dzorrilla,dzorrilla01
D2374,dagonzlez5,dagonzlez501
D2375,deaizpuru,deaizpuru01
D2376,drcampo,drcampo01
D2377,dvambriz,dvambriz01
D2378,djpell,djpell01
D2379,dfmontalva,dfmontalva01
D2380,drcarmona,drcarmona01
D2381,dmochoa,dmochoa01
D2382,dfprez,dfprez01
D2383,djalmazn,djalmazn01
D2384,disnchez,disnchez01
D2385,dfpenilla,dfpenilla01
D2386,damonteros,damonteros01
D2387,drdaz,drdaz01
D2388,drprez6,drprez601
D2389,djlpez10,djlpez1001
D2390,desotres,desotres01
D2391,dmeljure,dmeljure01
D2392,dmdomnguez2,dmdomnguez201
D2393,djmondragn2,djmondragn201
D2394,dmmorales2,dmmorales201
D2395,drloyo,drloyo01
D2396,dvgarcia,dvgarcia01
D2397,dlvzquez3,dlvzquez301
D2398,dotrujillo,dotrujillo01
D2399,dkmendoza,dkmendoza01
D2400,dlortiz,dlortiz01
D2401,dnbez,dnbez01
D2402,dcgodnez,dcgodnez01
D2403,desenz,desenz01
D2404,dnnesme,dnnesme01
D2405,dmflores3,dmflores301
D2406,dmperera,dmperera01
D2407,djguerrero,djguerrero01
D2408,djgamboa,djgamboa01
D2409,dpledesma,dpledesma01
D2410,democtezuma,democtezuma01
D2411,dlordiales,dlordiales01
D2412,dotorre,dotorre01
D2413,dbboix,dbboix01
D2414,dmsnchez7,dmsnchez701
D2415,dlfernndez,dlfernndez01
D2416,dmromero2,dmromero201
D2417,dkblando,dkblando01
D2418,datrigos,datrigos01
D2419,dmprez4,dmprez401
D2420,djgiles,djgiles01
D2421,dbrodrguez,dbrodrguez01
D2422,dmgutirrez3,dmgutirrez301
D2423,drolivera,drolivera01
D2424,dscamarena,dscamarena01
D2425,derojas2,derojas201
D2426,dvjoseph,dvjoseph01
D2427,dmruiz2,dmruiz201
D2428,dmblanco2,dmblanco201
D2429,dmgrijalva,dmgrijalva01
D2430,dmrivas,dmrivas01
D2431,dbchvez,dbchvez01
D2432,dvrosales,dvrosales01
D2433,dagmez2,dagmez201
D2434,dbcabrera,dbcabrera01
D2435,daherrera3,daherrera301
D2436,dclpez2,dclpez201
D2437,dwcisneros,dwcisneros01
D2438,dcespinoza,dcespinoza01
D2439,dcchvez2,dcchvez201
D2440,dcchvez3,dcchvez301
D2441,deflores2,deflores201
D2442,dcsosa,dcsosa01
D2443,dlhernndez6,dlhernndez601
D2444,dpromero,dpromero01
D2445,djvillarreal,djvillarreal01
D2446,ddisaac,ddisaac01
D2447,dproopa,dproopa01
D2448,dmayala,dmayala01
D2449,drgutirrez,drgutirrez01
D2450,djpalazuelos,djpalazuelos01
D2451,debarrera,debarrera01
D2452,daherrero,daherrero01
D2453,drmoscoso,drmoscoso01
D2454,dcberdeja,dcberdeja01
D2455,dpvalds,dpvalds01
D2456,djpalma,djpalma01
D2457,daaguirre6,daaguirre601
D2458,dmgarca4,dmgarca401
D2459,dgnieto3,dgnieto301
D2460,dsvalenzuela,dsvalenzuela01
D2461,dirodrguez,dirodrguez01
D2462,drruiz2,drruiz201
D2463,dmmartnez11,dmmartnez1101
D2464,dagamez,dagamez01
D2465,dnalfaro,dnalfaro01
D2466,drsolis,drsolis01
D2467,drziga,drziga01
D2468,dadelgadillo,dadelgadillo01
D2469,dhcrdova,dhcrdova01
D2470,dhcrdova2,dhcrdova201
D2471,dlgallardo,dlgallardo01
D2472,djfuentes2,djfuentes201
D2473,daloaiza,daloaiza01
D2474,dmamozurruti,dmamozurruti01
D2475,drwerge,drwerge01
D2476,dscossio,dscossio01
D2477,dmlicona,dmlicona01
D2478,dmmndez2,dmmndez201
D2479,dmbalbuena,dmbalbuena01
D2480,drsprung,drsprung01
D2481,daabreu,daabreu01
D2482,dhsols,dhsols01
D2483,dcrodrguez2,dcrodrguez201
D2484,dmmartnez12,dmmartnez1201
D2485,deviruette,deviruette01
D2486,dcsnchez,dcsnchez01
D2487,degarca5,degarca501
D2488,drrodrguez3,drrodrguez301
D2489,dngarca,dngarca01
D2490,dplpez2,dplpez201
D2491,dasnchez5,dasnchez501
D2492,dmaldatz,dmaldatz01
D2493,dlproano,dlproano01
D2494,dagarza2,dagarza201
D2495,dpgarcin,dpgarcin01
D2496,drmorhan,drmorhan01
D2497,deaguilar,deaguilar01
D2498,daavendao,daavendao01
D2499,djbarrera,djbarrera01
D2500,davila,davila01
D2501,djmndez,djmndez01
D2502,dkbarbachano,dkbarbachano01
D2503,dfgallegos,dfgallegos01
D2504,dealonso,dealonso01
D2505,dlpea,dlpea01
D2506,dvakel,dvakel01
D2507,dbbarba,dbbarba01
D2508,demayo,demayo01
D2509,dagarca11,dagarca1101
D2510,dclee,dclee01
D2511,dmmeza2,dmmeza201
D2512,djmarn2,djmarn201
D2513,dagarca12,dagarca1201
D2514,djorozco3,djorozco301
D2515,dfpartida,dfpartida01
D2516,dareza,dareza01
D2517,dhuerta,dhuerta01
D2518,dllpez4,dllpez401
D2519,demartinez,demartinez01
D2520,daaguilar2,daaguilar201
D2521,daaguilar3,daaguilar301
D2522,dpfernndez3,dpfernndez301
D2523,deurquiza,deurquiza01
D2524,delomas,delomas01
D2525,dvziga,dvziga01
D2526,daschulte,daschulte01
D2527,drmerino,drmerino01
D2528,dacaballero,dacaballero01
D2529,dhmorales,dhmorales01
D2530,dmfortes,dmfortes01
D2531,drlpez2,drlpez201
D2532,daaguirre7,daaguirre701
D2533,domacias,domacias01
D2534,djbaales,djbaales01
D2535,djhentschel,djhentschel01
D2536,dmgoris,dmgoris01
D2537,djfrusch,djfrusch01
D2538,ddlpez2,ddlpez201
D2539,dfhaiek,dfhaiek01
D2540,dmvalle,dmvalle01
D2541,djruiz4,djruiz401
D2542,daescalante,daescalante01
D2543,dmprez5,dmprez501
D2544,dasnchez6,dasnchez601
D2545,dfmendez,dfmendez01
D2546,ddjimnez,ddjimnez01
D2547,diescudero,diescudero01
D2548,dmcisneros,dmcisneros01
D2549,dacarranza,dacarranza01
D2550,dlnava2,dlnava201
D2551,dchernndez3,dchernndez301
D2552,dmvaldivia,dmvaldivia01
D2553,djkuri,djkuri01
D2554,ddvega,ddvega01
D2555,dgaburto,dgaburto01
D2556,ddfernndez,ddfernndez01
D2557,dmsalinas,dmsalinas01
D2558,doramrez2,doramrez201
D2559,drvalero,drvalero01
D2560,dlgarca4,dlgarca401
D2561,djrodrguez14,djrodrguez1401
D2562,demuoz2,demuoz201
D2563,dicastro,dicastro01
D2564,djaguirre,djaguirre01
D2565,drflores,drflores01
D2566,daita,daita01
D2567,drflores2,drflores201
D2568,dhprez,dhprez01
D2569,djlayon,djlayon01
D2570,dmcastro2,dmcastro201
D2571,decisneros2,decisneros201
D2572,dmjurez3,dmjurez301
D2573,drtortolero,drtortolero01
D2574,djneve,djneve01
D2575,djplasencia,djplasencia01
D2576,dcaguilar2,dcaguilar201
D2577,dspareto,dspareto01
D2578,ddquintanar,ddquintanar01
D2579,djfigueroa5,djfigueroa501
D2580,damena,damena01
D2581,dlgonzlez3,dlgonzlez301
D2582,dhyanez,dhyanez01
D2583,ddlara,ddlara01
D2584,dcsalgado,dcsalgado01
D2585,dbhernndez,dbhernndez01
D2586,djahrensburg,djahrensburg01
D2587,dgpalencia,dgpalencia01
D2588,dymorisseau,dymorisseau01
D2589,dlcalleja,dlcalleja01
D2590,delanz,delanz01
D2591,drschuff,drschuff01
D2592,djprez5,djprez501
D2593,darodrguez3,darodrguez301
D2594,dmfuentes,dmfuentes01
D2595,dlvalencia,dlvalencia01
D2596,dfvila,dfvila01
D2597,dasantos,dasantos01
D2598,djcastaeda,djcastaeda01
D2599,djgarca14,djgarca1401
D2600,dmresndiz,dmresndiz01
D2601,djnunes,djnunes01
D2602,drfuente,drfuente01
D2603,dlperez,dlperez01
D2604,dlmacedo2,dlmacedo201
D2605,dgmonterrubi,dgmonterrubi01
D2606,djangeles,djangeles01
D2607,djramrez7,djramrez701
D2608,dgmora,dgmora01
D2609,dehernndez4,dehernndez401
D2610,desesin,desesin01
D2611,djvizcayno,djvizcayno01
D2612,dstenorio,dstenorio01
D2613,ddcabrera,ddcabrera01
D2614,deconde,deconde01
D2615,deprez2,deprez201
D2616,deprez3,deprez301
D2617,drcardoso,drcardoso01
D2618,drvargas,drvargas01
D2619,drbarba,drbarba01
D2620,dmrbago,dmrbago01
D2621,dmcaballero,dmcaballero01
D2622,danegrn,danegrn01
D2623,detrevilla,detrevilla01
D2624,dbmaldonado2,dbmaldonado201
D2625,dbmaldonado3,dbmaldonado301
D2626,dgtorres,dgtorres01
D2627,dgtorres2,dgtorres201
D2628,dgramos,dgramos01
D2629,drprez7,drprez701
D2630,dacermeo,dacermeo01
D2631,delara,delara01
D2632,delimn2,delimn201
D2633,dkmondragn,dkmondragn01
D2634,dsharo,dsharo01
D2635,ddbecerra,ddbecerra01
D2636,dvmacedo,dvmacedo01
D2637,daserrano,daserrano01
D2638,dmsousa,dmsousa01
D2639,dfrea,dfrea01
D2640,dporigel,dporigel01
D2641,dgalavez,dgalavez01
D2642,davillanueva,davillanueva01
D2643,djchvez3,djchvez301
D2644,dsmartinez,dsmartinez01
D2645,dsgoya,dsgoya01
D2646,deramrez4,deramrez401
D2647,dechavez,dechavez01
D2648,dcros2,dcros201
D2649,doayala,doayala01
D2650,ddbaos,ddbaos01
D2651,demeza2,demeza201
D2652,daubierna,daubierna01
D2653,dmtoscano,dmtoscano01
D2654,dnsantiago,dnsantiago01
D2655,djkarpovitch,djkarpovitch01
D2656,dgescobar,dgescobar01
D2657,dagonzlez6,dagonzlez601
D2658,dpcalvo,dpcalvo01
D2659,drmonroy,drmonroy01
D2660,drmonroy2,drmonroy201
